,persian,english
2887,"بهتر عمل كردن

( از سنجه )

 broker recommendations or opinions or ratings",outperform	
2888,"عضو غیرموظف هیأت مدیره

 board of directors",outside director
2889,برون‌سپاری,outsourcing
2890,"سهام نزد سهامداران، معوق، چك 

	سهام نزد سهامداران  (کوتاه‌شدۀ  outstanding capital stock) (مترادف  capital stock issued and outstanding)>
	معوق ( حساب‌های دریافتنی و هرنوع تعهد بدهی )>
	چك ( یا حوالۀ ) وصول‌نشده>
</ol>
کوتاه‌شدۀ  outstanding check",outstanding
2891, blowout,out the window
2892,"حد شمول ارزش بازار  

( ارزش اوراق بهادار در صورت انحلال شركت )",overall market price coverage
2893, oversubscribed,overbooked
2894,"اعتبار در حساب جاری

کوتاه‌شدۀ  bank overdraft",overdraft
2895,موعد گذشته ( برات یا چك ),overdue
2896,"سایه‌انداز

( عامل بالقوه برای سقوط قیمت‌ها، نظیر روانه شدن حجم قابل توجهی از اوراق بهادار به بازار )",overhang
2897,"هزینۀ سربار 

( مؤسسات تولیدی و خدماتی )

مترادف  indirect cost and expense, burden, on costs

 direct overhead",overhead
2898,انتشار اضافی ( اوراق بهادار ),overissue
2899,"موضع خالص آخر وقت

( کارگزار/ معامله‌گر )",overnight position
2900,بازخرید یک‌شبه,overnight repo
2901,"فراتر از هدف

( پیش‌بینی درآمد )",overshoot
2902,مزیت حق خرید اضافی,oversubscription privilege
2903,فرابورس,over the counter-OTC
2904,"فروش اضافی، بده- بستان، خرید و فروش اضافی 

	[ مالی ] فروش اضافی>
	[ پذیره‌نویسی اوراق بهادار تازه ‌منتشرشده ]  بده- بستان ( بده- بستان گروه پذیره‌نویس و كارگزاری از طریق تشویق مشتری كارگزاری به خرید بخشی از اوراق بهادار تازه منتشرشده در مقابل خرید با ",overtrading
2905,"بیش‌ارزشیابی‌شده ( سهام )

متضاد  undervalued

 fully valued",overvalued	
2906,"مازاد بر حد مالیات تكلیفی

 underwithholding",overwithholding
2907,"فروش سفته‌بازانه

( فروش اختیار خرید یا اختیار فروش به مقدار زیاد به امید عدم اِعمال آن توسط خریدار )

 option",overwriting
2908,حقوق صاحبان سهام,owner’s equity
2909,"اوراق قرضۀ پك

( قرضۀ وجوه استهلاکی با برنامه )

 TAC bonds",PAC bonds - planned amortization class bonds 
2910,"بورس منطقه‌ای پاسیفیک 

( سان‌فرانسیسکو )",Pacific Exchange-PCX
2911,"وام رهنی بسته‌ای 

( مسکن و اسباب و اثاثیه )",package mortgage
2912,"سرمایۀ پرداخت‌شده

مترادف  contributed capital

 donated stock",paid - in capital
2913, paid in capital,paid - in surplus
2914,"پرداخت‌شده

( سهام، بیمه‌نامه )",paid up
2915,بیمه‌نامۀ پرداخت‌شده ( بیمۀ عمر ),paid - up policy
2916,"رنگ و جلا به تابلوی معاملات

( خریدوفروش تودرتوی اوراق بهادار توسط عوامل دست‌كاری‌كننده به منظور ظاهرسازی روی تابلوی معاملات و به این طریق اغوای سرمایه‌گذاران ناآگاه و كشاندن آن‌ها به معاملۀ آن اوراق )

 consolidated tape",painting the tape
2917,"سهام جفتی

( تركیبی از سهام دو شركت با مدیریت واحد )

مترادف  Siamese shares, stapled stock",paired shares	
2918, market-neutral investing,pairs trading
2919,جفت‌های ارزی,pairs of currencies
2920,"اصل و بهره 

( اوراق قرضه یا اوراق  بهادار با پشتوانۀ رهنی )",P & I-principal and interest 
2921, profit and loss statement,P & L
2922,"خرید و فروش هول‌هولکی

 circuit breakers",panic buying or selling	
2923,"اوراق تجاری کوتاه‌مدت

کوتاه‌شدۀ  short - term commercial paper",paper
2924,معامله‌گر اوراق تجاری,paper dealer
2925,"عایدی یا زیان سرمایه‌ای کاغذی

مترادف  unrealized profit or loss",paper profit or loss
2926, mock trading,paper trading
2927,"ارزش اسمی

کوتاه‌شدۀ  par value

مترادف  face value, nominal value

 stated value",par
2928,قرضه به قیمت اسمی,par bond
2929,"شرکت مادر

( مالک یا کنترل‌کنندۀ شرکت‌های تابعه )

 holding company",parent company	
2930,"قانون پارتو 

( نظریۀ ثابت بودن الگوی توزیع درآمد )

مترادف  law of the trivial many and critical few, 80 - 20 law",Pareto’s Law
2931, conversion parity,parity 
2932,قیمت تثبیتی,parity price	
2933,"
	پارک سرمایه>
	لاپوشانی ( مالکیت سهام )>
</ol>",parking
2934,تحویل جزئی ( اوراق بهادار، کالا ),partial delivery
2935,"سود سهام مشاركتی 

( سود سهام از محل سهام ممتاز مشاركتی )",participating dividend
2936,"بیمه‌نامۀ عمر با مشاركت در سود سهام

متضاد  nonparticipating life insurance policy",participating life insurance policy	 
2937,"سهام ممتاز مشاركتی

متضاد  nonparticipating preferred stock",participating preferred stock	
2938,اوراق مشارکت,participation papers
2939,"گواهی مشارکت

 pass - through securities",participation certificate
2940,"وام مشارکتی

( تجاری، رهنی )",participation loan
2941,قرارداد مشارکت,partnership agreement
2942, par,par value
2943,"ارزش برابری ارز

مترادف  par of exchange, par exchange rate",par value of currency
2944,"دفترچۀ بانک 

( حساب پس‌انداز )

مترادف  passbook savings account",passbook	
2945,غیرفعال,passive
2946,"زیان سرمایه‌گذاری غیرفعال

 passive income generator-PIG",passive activity loss-PAL 
2947,سند قرض‌الحسنه,passive bond
2948,سرمایه‌گذاری با درآمد منفعل,passive income generator-PIG
2949,"سرمایه‌گذاری غیرفعال  

( صندوق سرمایه‌گذاری مشترک )",passive investing	
2950,سامانۀ با رمز ورود,password - protected platform
2951,"دورگردانی دفتر معاملات 

( شرکت‌های کارگزاری )",pass the book
2952,"اوراق بهادار انتقال وجوه 

( از وام‌گیرندگان به سرمایه‌گذاران )",pass - through security	
2953,"حق انحصاری 

( بهره‌برداری از فرآیند، طرح، اختراع، تولید  یا فروش محصولی خاص برای مدتی معین )",patent
2954,"الگو

 technical analysis",pattern
2955,وام‌دهندۀ گروی‌گیر,pawnbroker
2956,"
	پرداخت تدریجی مالیات كاركنان>
	پرداخت به میزان خدمات دریافتی>
</ol>",pay - as - you - go basis
2957, unfunded pension plan,pay as you go pension plan
2958,دورۀ برگشت سرمایه,payback period
2959,"پرداخت به هنگام كسب درآمد

( نظام مالیاتی مبتنی بر كسر مالیات حقوق قبل از پرداختن حقوق )",PAYE- pay as you earn
2960,"دریافت‌کنندۀ وجه 

( از طریق چك، سفته، برات، كارت اعتباری،  حواله، ... )",payee
2961,"پرداخت‌کنندۀ وجه

( از طریق چك، سفته، برات، كارت اعتباری،  حواله، ... )",payer	
2962,"عامل پرداخت 

مترادف  disbursing agent",paying agent
2963,"تاریخ پرداخت

( سود سهام، بهرۀ اوراق قرضه )",payment date
2964,"پرداخت جنسی 

( به جای پرداخت نقدی سود سهام )

 barter",payment in kind-PIK 
2965, payment - in - kind-PIK,payment - in - kind securities
2966,"نسبت پرداخت سود سهام

 retention rate",payout ratio
2967, withholding,payroll withholding
2968,"پرداخت در صحنه ماندن

( رویه‌ای در پذیره‌نویسی اوراق قرضۀ شهرداری كه به موجب آن متعهد پذیره‌نویسی خود را ملزم می‌داند تا برای گرفتن كار از شهرداری هزینه‌های انتخاباتی منتخبین را پرداخت كند )",pay - to - play
2969,گران‌خری ( سهام ),pay up
2970,"نسبت قیمت به ارزش دفتری

( ارزش بازار سهام شرکت تقسیم بر ارزش ویژۀ مشهود )",PBR-price to book value ratio
2971,"سود سهام صلح 

( تخصیص مصارف نظامی   به مصارف غیرنظامی )",peace dividend	
2972,"نظام ارزی نرخْ ثابت

متضاد  Floating - Exchange Rate System, The",Pegged - Exchange Rate System
2973, prospective earnings growth ratio,PEG ratio
2974,"بند جریمه ( قرارداد )

 prepayment penalty",penalty clause
